date,sector,symbol,name,portfolio_status,sector_rank,sector_count,sector_confidence,sector_confidence_note,evidence_warning,final_score,quantitative_score,scoring_model_version,active_axis_weight_pct,data_completeness_count,data_completeness_total,data_completeness_pct,data_completeness_label,news_score,news_label,news_note,trend_score,valuation_score,profitability_score,liquidity_score,income_score,quality_score,quality_metric_count,quality_metric_total,quality_completeness_pct,quarterly_fiscal_period,quarterly_fiscal_end_date,quarterly_available_date,quarterly_date_basis,quarterly_age_days,quarterly_debt_to_equity,quarterly_roe,quarterly_current_ratio,quarterly_revenue_growth,quarterly_net_profit_growth,quarterly_quality_note,volatility_daily_pct,volatility_annualized_pct,volatility_observations,volatility_window,volatility_score,volatility_label,daily_return_pct,period_return_pct,distance_from_52w_high_pct,distance_from_52w_low_pct,market_cap,weekly_avg_volume,price_to_earnings,price_to_book,peg_ratio,eps,net_income_margin,dividend_yield,trend_label,key_reason
2026-08-03,APPAREL,IMAGE,Image Pakistan Limited,unknown,1,3,low,3 scored members; low peer-count confidence,quarterly quality unavailable; volatility history insufficient; small sector peer group,83.1,83.1,v3_quarterly_quality,90,5,6,83.33,partial,,,,37.5,83.33,100,83.33,100,,0,5,0,Mar-26,2026-03-31,2026-07-25,scraped_at,125,23.71,17.59,3.38,1.38,18.21,,,,11,30,,unknown,-0.63,0.9,20.94,41.26,6.18B,771.85K,7.68,1.27,,3.49,17.93,7.45,flat,0.9% period return; PE 7.68; EPS 3.49; margin 17.93%
2026-08-03,APPAREL,INKL,International Knitwear Limited,unknown,2,3,low,3 scored members; low peer-count confidence,quarterly quality unavailable; volatility history insufficient; small sector peer group,48.15,48.15,v3_quarterly_quality,90,0,6,0,low,,,,50,50,50,33.33,50,,0,5,0,,,,,,,,,,,,,,11,30,,unknown,-1.05,1.46,36.9,205.27,890.49M,52.07K,,,,,,,up,limited data 0/6; 1.46% period return
2026-08-03,APPAREL,STYLERS,Stylers International Limited,unknown,3,3,low,3 scored members; low peer-count confidence,quarterly quality unavailable; volatility history insufficient; small sector peer group,18.75,18.75,v3_quarterly_quality,90,5,6,83.33,partial,,,,62.5,16.67,0,33.33,0,,0,5,0,,,,,,,,,,,,,,11,30,,unknown,-0.39,-2.5,11.45,41.67,24.93B,17.95K,22.41,1.83,,2.28,5.99,2.94,down,-2.5% period return; PE 22.41; EPS 2.28; margin 5.99%
2026-08-03,AUTOMOBILE ASSEMBLER,AGTL,Al-Ghazi Tractors Limited,unknown,7,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,28.04,28.04,v3_quarterly_quality,100,6,6,100,complete,,,,29.17,44.44,41.67,5.56,0,36.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,18.34,19.3,1.8,-17.24,-30.08,,,,11,30,,unknown,-0.9,-1.51,33.92,28.86,21.51B,7.03K,10.49,1.92,1.27,35.36,8.63,0,down,-1.51% period return; PE 10.49; EPS 35.36; margin 8.63%
2026-08-03,AUTOMOBILE ASSEMBLER,GAL,Ghandhara Automobiles Limited,unknown,1,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,65.51,65.51,v3_quarterly_quality,100,6,6,100,complete,,,,87.5,72.22,66.67,66.67,33.33,76.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,4.18,39.42,1.75,187.06,160.65,,,,11,30,,unknown,0.23,5.09,5.26,106.66,34.28B,755.75K,5.13,1.79,0,117.24,12.52,1.66,strong_up,strong quality 76.67 (5/5); 5.09% period return; PE 5.13; EPS 117.24
2026-08-03,AUTOMOBILE ASSEMBLER,GHNI,Ghandhara Industries Limited,unknown,3,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,59.43,59.43,v3_quarterly_quality,100,6,6,100,complete,,,,95.83,61.11,66.67,61.11,16.67,70,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,0.22,43.96,1.5,118.4,102.87,,,,11,30,,unknown,-0.17,8,5.09,107.28,52.11B,182.18K,7.53,2.83,0.02,162.33,11.84,0.82,strong_up,strong quality 70 (5/5); 8% period return; PE 7.53; EPS 162.33
2026-08-03,AUTOMOBILE ASSEMBLER,HCAR,Honda Atlas Cars (Pakistan) Limited,unknown,5,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,51.58,51.58,v3_quarterly_quality,100,6,6,100,complete,,,,41.67,55.56,25,61.11,83.33,36.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,24.82,13.34,1.5,56.64,19.34,,,,11,30,,unknown,-1.4,0.82,31.93,63.41,34.42B,1.5M,7.04,1.29,32.55,34.25,3.68,3.73,flat,0.82% period return; PE 7.04; EPS 34.25; margin 3.68%
2026-08-03,AUTOMOBILE ASSEMBLER,HINO,Hinopak Motors Limited,unknown,6,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,28.51,28.51,v3_quarterly_quality,100,6,6,100,complete,,,,29.17,36.11,0,11.11,50,40,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,36.06,9.11,1.51,6.42,234.57,,,,11,30,,unknown,-0.37,-9.52,50.56,46.8,9.64B,8.51K,28.84,1.54,10.51,13.47,3.24,2.81,strong_down,-9.52% period return; PE 28.84; EPS 13.47; margin 3.24%
2026-08-03,AUTOMOBILE ASSEMBLER,MTL,Millat Tractors Limited,unknown,4,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,52.32,52.32,v3_quarterly_quality,100,6,6,100,complete,,,,20.83,30.56,50,88.89,100,26.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,155.6,80.74,1.11,-9.24,3.31,,,,11,30,,unknown,-0.98,3.35,112.32,7.53,119.72B,251.55K,16.23,15.48,0.94,18.49,12.64,5.83,up,weak quality 26.67 (5/5); 3.35% period return; PE 16.23; EPS 18.49
2026-08-03,AUTOMOBILE ASSEMBLER,SAZEW,Sazgar Engineering Works Limited,unknown,2,7,moderate,7 scored members; moderate peer-count confidence,volatility history insufficient,65.15,65.15,v3_quarterly_quality,100,6,6,100,complete,,,,45.83,50,100,61.11,66.67,63.33,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,3.24,63.19,1.59,36.34,12.35,,,,11,30,,unknown,-0.63,-1.52,27.37,50.17,118.02B,74.73K,6.43,3.32,0,303.75,12.89,3.59,down,-1.52% period return; PE 6.43; EPS 303.75; margin 12.89%
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,AGIL,Agriauto Industries Limited,unknown,2,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,73.15,73.15,v3_quarterly_quality,100,6,6,100,complete,,,,67.86,77.78,75,61.9,66.67,90,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,21.59,13.94,1.8,57.36,2242.11,,,,11,30,,unknown,1.91,-1.72,29.48,26.17,5.51B,12.9K,6.18,0.82,0.47,24.75,5.37,1.14,down,strong quality 90 (5/5); -1.72% period return; PE 6.18; EPS 24.75
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,ATBA,Atlas Battery Limited,unknown,8,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,27.13,27.13,v3_quarterly_quality,100,6,6,100,complete,,,,32.14,16.67,25,38.1,33.33,26.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,111.04,0.97,1.41,-5.22,-87.29,,,,11,30,,unknown,-0.4,-3.73,49.86,19.62,7.08B,8.18K,90.4,0.9,439.02,2.24,0.23,0,down,weak quality 26.67 (5/5); -3.73% period return; PE 90.4; EPS 2.24
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,BWHL,Baluchistan Wheels Limited,unknown,1,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,75.27,75.27,v3_quarterly_quality,100,6,6,100,complete,,,,82.14,60,91.67,42.86,83.33,86.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,0.52,16.44,5.6,14.6,29.04,,,,11,30,,unknown,-0.18,2.2,9.48,47.24,3.14B,21.76K,8.03,1.33,0.06,29.35,14.67,7.22,up,strong quality 86.67 (5/5); 2.2% period return; PE 8.03; EPS 29.35
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,EXIDE,Exide Pakistan Limited,unknown,5,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,49.3,49.3,v3_quarterly_quality,100,5,6,83.33,partial,,,,25,63.33,66.67,23.81,50,40,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,79.02,6.07,1.59,-17.83,-29.64,,,,11,30,,unknown,-0.48,-6.15,71.02,33.61,3.79B,8.62K,11.29,0.5,,43.18,1.88,1.03,strong_down,-6.15% period return; PE 11.29; EPS 43.18; margin 1.88%
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,GTYR,Ghandhara Tyre & Rubber Company Limited,unknown,7,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,37.64,37.64,v3_quarterly_quality,100,6,6,100,complete,,,,67.86,55.56,0,52.38,33.33,16.67,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,77.29,-11.68,0.94,-17.46,-922.34,,,,11,30,,unknown,1.68,-1.88,43.97,49.78,4.07B,474.32K,-5.26,0.64,0.54,-6.34,-4.84,0,down,weak quality 16.67 (5/5); -1.88% period return; PE -5.26; EPS -6.34
2026-08-03,AUTOMOBILE PARTS & ACCESSORIES,LOADS,Loads Limited,unknown,6,8,moderate,8 scored members; moderate peer-count confidence,volatility history insufficient,42.11,42.11,v3_quarterly_quality,100,6,6,100,complete,,,,50,34.44,41.67,66.67,33.33,43.33,5,5,100,Mar-26,2026-03-31,2026-07-25,scraped_at,125,48.84,5.85,0.79,26.53,-67.71,,,,11,30,,unknown,0.59,0.22,65.45,24.98,5.07B,877.32K,12.8,0.97,-0.01,1.07,4.28,0,flat,0.22% period return; PE 12.8; EPS 1.07; margin 4.28%
